N,P,K,temperature,humidity,ph,rainfall,label
43.5,65.7,78.8,17.31,12.01,7.34,74.17,chickpea
50.0,68.5,72.0,23.34,20.1,7.22,55.61,chickpea
42.4,72.1,75.5,18.65,20.38,7.24,78.66,chickpea
32.8,55.5,84.9,19.25,13.73,7.22,94.23,chickpea
42.7,63.8,82.8,20.1,15.77,7.75,89.26,chickpea
47.2,74.4,77.3,19.09,13.68,7.54,89.65,chickpea
36.3,58.0,76.4,22.39,16.36,6.12,92.36,chickpea
39.2,70.3,76.3,17.75,16.08,7.56,80.89,chickpea
40.1,57.1,72.5,19.39,19.34,7.38,81.97,chickpea
35.3,71.7,90.3,17.52,20.93,7.29,73.82,chickpea
43.9,67.7,76.7,16.36,21.19,7.14,76.84,chickpea
39.3,55.1,87.5,17.78,15.31,7.75,86.16,chickpea
42.5,77.3,89.6,18.93,16.37,7.68,92.04,chickpea
34.7,62.1,86.0,18.14,11.95,6.99,78.61,chickpea
37.4,61.5,76.0,17.62,14.58,7.46,75.5,chickpea
44.3,69.6,81.8,16.19,19.89,6.91,80.01,chickpea
37.8,77.2,78.8,18.83,21.85,6.75,86.01,chickpea
50.4,59.9,72.7,15.99,13.3,7.05,65.56,chickpea
37.6,68.5,81.3,20.52,15.22,7.64,57.04,chickpea
41.3,71.4,70.7,19.16,16.92,7.68,74.49,chickpea
45.6,73.5,87.3,16.08,17.84,7.51,67.79,chickpea
31.5,69.4,75.7,18.38,14.57,7.59,74.92,chickpea
29.4,65.1,80.4,17.5,18.27,7.51,78.52,chickpea
30.8,61.4,81.0,19.64,15.58,7.04,75.47,chickpea
47.6,68.7,77.2,21.68,16.96,7.47,94.52,chickpea
36.7,59.4,83.1,15.25,18.64,7.62,83.27,chickpea
55.3,44.6,75.7,19.23,17.02,7.6,83.0,chickpea
36.6,71.5,85.1,18.68,15.69,7.78,86.22,chickpea
41.1,75.2,69.6,20.34,16.67,7.58,68.61,chickpea
49.3,49.1,79.9,19.43,16.73,7.44,90.39,chickpea
52.0,59.9,92.6,17.5,15.89,7.73,79.24,chickpea
52.4,73.0,72.0,18.36,16.22,7.29,86.7,chickpea
47.3,84.5,74.3,17.41,21.8,6.95,69.28,chickpea
46.1,68.2,82.6,21.15,18.68,7.23,64.46,chickpea
43.6,62.2,80.3,19.04,16.11,7.0,88.18,chickpea
22.9,81.4,24.2,17.83,24.28,4.95,111.8,kidneybeans
16.5,65.5,16.0,20.53,25.87,5.95,122.36,kidneybeans
16.7,72.8,18.5,18.36,20.67,5.45,136.18,kidneybeans
26.6,56.7,21.0,19.19,19.55,5.22,121.36,kidneybeans
15.1,59.3,28.0,25.02,17.66,5.45,109.74,kidneybeans
29.2,70.8,32.4,24.02,18.7,5.63,121.68,kidneybeans
16.5,78.9,22.4,16.1,33.8,5.46,108.17,kidneybeans
24.2,69.8,19.3,22.49,26.98,4.82,106.36,kidneybeans
19.4,64.5,22.1,22.43,16.6,6.06,100.73,kidneybeans
24.0,67.0,23.6,16.56,16.71,6.21,129.45,kidneybeans
18.3,57.0,18.7,22.46,23.93,5.96,93.72,kidneybeans
20.2,71.8,27.2,24.61,24.19,5.24,128.99,kidneybeans
21.2,74.1,20.9,16.63,24.2,5.62,113.5,kidneybeans
16.0,63.4,22.0,17.25,20.98,5.7,85.01,kidneybeans
24.7,63.2,22.7,23.05,21.5,5.94,111.51,kidneybeans
18.4,69.1,21.7,20.81,23.31,5.97,74.5,kidneybeans
19.9,63.5,23.4,21.65,22.34,5.41,115.38,kidneybeans
16.0,66.5,17.5,21.02,13.12,5.73,119.28,kidneybeans
8.2,83.8,17.8,21.17,21.08,5.88,97.11,kidneybeans
20.0,65.0,15.6,16.02,18.59,6.28,107.85,kidneybeans
33.1,64.1,21.8,23.14,22.7,5.98,135.31,kidneybeans
24.9,61.8,23.1,23.51,33.94,6.02,98.41,kidneybeans
20.9,73.0,21.8,19.31,23.47,5.73,90.12,kidneybeans
19.7,65.6,26.7,19.87,20.75,6.26,128.22,kidneybeans
21.1,61.8,20.0,15.41,25.69,5.86,135.44,kidneybeans
23.7,77.6,22.7,21.54,23.93,5.36,106.06,kidneybeans
15.1,78.4,15.6,21.72,23.68,6.26,121.17,kidneybeans
26.6,62.2,18.5,19.81,24.43,5.98,126.12,kidneybeans
24.6,52.1,22.8,23.37,30.23,5.52,94.86,kidneybeans
24.6,75.1,23.4,19.0,17.48,5.51,98.72,kidneybeans
23.2,61.5,18.8,21.69,23.89,5.82,124.46,kidneybeans
21.1,73.3,19.7,16.94,18.29,5.89,131.28,kidneybeans
24.4,51.2,13.9,19.93,24.22,5.78,114.44,kidneybeans
24.0,74.1,18.6,19.48,18.33,5.82,92.8,kidneybeans
19.2,57.3,23.6,20.68,20.33,6.38,135.81,kidneybeans
18.1,72.8,22.3,18.89,20.82,6.13,98.04,kidneybeans
21.5,67.1,22.0,19.61,25.9,5.78,100.97,kidneybeans
28.7,59.4,20.2,22.48,25.67,6.08,111.14,kidneybeans
14.8,63.7,20.0,18.69,17.02,5.29,129.31,kidneybeans
13.7,72.5,17.4,15.18,22.22,5.86,118.81,kidneybeans
21.8,67.8,22.8,25.25,19.16,6.42,112.22,kidneybeans
21.3,71.7,21.7,24.14,16.97,5.61,112.95,kidneybeans
21.9,82.8,22.0,16.12,21.13,5.36,106.65,kidneybeans
22.2,54.5,17.9,22.07,20.77,5.44,114.37,kidneybeans
19.9,79.9,11.4,18.49,31.71,5.26,68.06,kidneybeans
28.4,67.8,24.4,20.79,23.73,5.39,101.55,kidneybeans
13.0,59.8,18.1,20.88,16.49,5.55,109.62,kidneybeans
16.9,56.4,16.5,19.3,19.74,5.14,88.73,kidneybeans
20.5,65.5,22.8,17.65,26.09,5.71,111.79,kidneybeans
12.8,74.4,18.4,17.93,30.35,6.06,102.93,kidneybeans
20.1,66.0,24.2,17.25,15.66,5.34,132.33,kidneybeans
29.3,79.1,22.5,17.5,14.48,6.31,129.6,kidneybeans
21.1,55.4,22.7,19.8,29.48,5.9,99.01,kidneybeans
22.2,66.9,14.5,17.85,23.56,6.11,103.74,kidneybeans
14.7,57.0,24.8,22.05,18.53,5.44,104.89,kidneybeans
17.9,69.9,21.0,24.46,24.14,6.04,99.23,kidneybeans
19.1,74.1,18.5,18.26,11.46,5.26,108.93,kidneybeans
19.4,63.6,20.6,20.72,22.01,6.06,94.63,kidneybeans
27.4,46.2,12.9,21.5,23.31,5.77,89.04,kidneybeans
23.8,68.6,21.6,21.42,25.7,5.92,115.34,kidneybeans
15.4,70.5,15.9,20.23,17.94,5.23,115.44,kidneybeans
22.2,70.2,14.6,22.23,22.34,5.34,93.94,kidneybeans
23.5,76.9,13.9,21.45,18.3,5.94,119.43,kidneybeans
26.7,58.4,24.5,16.29,23.02,5.32,96.53,kidneybeans
28.9,72.4,17.5,22.61,18.42,5.89,109.8,kidneybeans
15.9,76.5,26.1,22.66,20.37,5.15,118.31,kidneybeans
16.9,52.8,17.9,17.71,18.02,6.04,105.5,kidneybeans
14.7,69.6,13.2,20.11,24.6,5.21,112.82,kidneybeans
19.8,63.0,15.5,22.05,25.43,5.92,98.25,kidneybeans
23.3,66.3,24.9,19.37,21.06,5.95,103.05,kidneybeans
25.9,69.8,19.4,23.22,22.15,5.42,102.91,kidneybeans
20.6,63.1,17.8,27.09,16.21,5.93,94.8,kidneybeans
19.4,61.6,20.6,17.64,20.8,5.8,103.35,kidneybeans
21.8,67.3,22.0,15.86,21.8,5.48,82.77,kidneybeans
16.8,58.3,24.5,20.91,32.48,5.3,98.63,kidneybeans
31.4,58.3,25.8,22.16,17.55,4.91,101.73,kidneybeans
13.0,72.4,18.6,19.31,27.86,5.84,102.16,kidneybeans
21.9,57.8,14.7,24.36,25.99,5.07,102.38,kidneybeans
31.1,72.3,18.3,15.98,23.12,5.74,105.07,kidneybeans
21.0,70.7,21.0,22.08,29.03,5.59,113.19,kidneybeans
20.0,53.2,16.1,18.18,23.49,5.97,119.12,kidneybeans
19.2,61.6,16.2,25.16,23.56,5.58,96.25,kidneybeans
20.1,76.6,21.4,25.98,21.79,5.57,87.95,kidneybeans
27.9,59.2,19.8,17.7,26.89,5.99,90.37,kidneybeans
9.9,63.3,20.1,18.35,26.39,5.83,98.69,kidneybeans
28.7,70.7,17.0,22.58,19.5,5.83,100.72,kidneybeans
13.9,73.3,19.1,18.84,16.72,5.89,94.45,kidneybeans
19.7,65.0,16.3,19.86,21.19,5.09,86.56,kidneybeans
18.9,62.2,23.6,20.08,18.8,6.0,99.16,kidneybeans
23.9,78.4,24.1,14.24,21.75,5.94,108.72,kidneybeans
13.0,80.9,12.6,19.96,26.95,5.29,114.93,kidneybeans
23.3,74.8,16.3,17.93,20.17,5.6,97.64,kidneybeans
31.1,67.7,14.0,18.52,21.83,5.68,99.81,kidneybeans
14.2,60.5,17.4,24.33,22.23,5.65,92.1,kidneybeans
21.9,60.4,19.7,16.23,25.39,5.83,105.53,kidneybeans
17.7,71.2,14.2,22.44,13.01,6.27,93.27,kidneybeans
23.1,70.3,16.3,19.16,19.57,6.13,114.6,kidneybeans
21.1,78.2,16.0,19.16,22.85,5.18,79.21,kidneybeans
17.8,72.2,20.8,22.37,26.8,5.95,100.61,kidneybeans
23.4,55.0,20.3,21.02,20.03,6.23,110.52,kidneybeans
21.9,67.6,12.4,25.88,49.11,5.97,159.83,pigeonpeas
34.5,64.6,16.6,30.57,50.55,5.33,161.4,pigeonpeas
22.7,63.4,18.3,32.95,49.33,5.91,153.91,pigeonpeas
16.0,70.6,27.6,31.21,55.67,5.29,148.02,pigeonpeas
20.5,55.9,22.2,25.81,42.29,6.35,158.72,pigeonpeas
12.1,74.0,14.7,29.08,43.94,6.33,99.36,pigeonpeas
20.6,64.7,21.9,24.12,43.36,6.07,163.64,pigeonpeas
16.8,59.0,13.8,29.72,52.98,5.98,152.52,pigeonpeas
25.6,64.4,24.3,29.35,53.4,6.68,145.55,pigeonpeas
18.3,78.1,18.1,22.39,50.71,5.8,190.94,pigeonpeas
20.4,63.7,19.6,24.51,55.1,5.21,136.5,pigeonpeas
17.8,70.9,25.3,27.15,40.93,6.02,141.94,pigeonpeas
29.7,62.2,14.9,27.1,58.0,6.84,189.83,pigeonpeas
19.4,74.1,14.4,24.37,57.14,5.29,133.36,pigeonpeas
30.2,73.5,17.7,29.17,52.41,5.62,139.0,pigeonpeas
25.1,82.8,24.2,28.75,58.69,6.01,147.06,pigeonpeas
23.4,66.6,13.9,27.42,38.06,5.77,166.81,pigeonpeas
22.8,73.3,8.7,25.73,44.85,5.31,154.16,pigeonpeas
23.0,68.8,18.2,31.15,43.59,6.36,124.15,pigeonpeas
11.4,78.4,22.2,32.97,52.33,6.96,139.36,pigeonpeas
19.6,62.2,24.8,26.55,41.7,5.9,137.85,pigeonpeas
25.2,74.0,18.1,26.16,52.54,5.35,148.46,pigeonpeas
20.8,66.4,18.4,29.47,56.22,5.03,158.52,pigeonpeas
14.0,67.5,24.6,26.93,52.17,5.93,158.36,pigeonpeas
20.7,68.7,12.5,27.58,49.7,6.35,114.48,pigeonpeas
29.5,70.0,18.4,30.22,42.07,6.04,171.28,pigeonpeas
